Date,Open,High,Low,Close,Adj Close,Volume
2022-10-28,28.180000,29.219999,27.860001,29.070000,28.120586,91695700
2022-10-31,29.080000,29.180000,28.049999,28.430000,27.501490,59507700
2022-11-01,28.799999,28.850000,27.889999,28.299999,27.375734,44418700
2022-11-02,28.270000,28.850000,27.410000,27.420000,26.524477,51956100
2022-11-03,27.450001,27.879999,27.170000,27.389999,26.495455,39678200
2022-11-04,27.570000,28.240000,27.410000,28.200001,27.647434,43051900
2022-11-07,28.360001,28.469999,27.889999,28.410000,27.853317,34389800
2022-11-08,28.760000,28.950001,27.930000,28.480000,27.921946,36258000
2022-11-09,28.219999,28.299999,27.520000,27.520000,26.980757,30544800
2022-11-10,28.879999,29.830000,28.650000,29.760000,29.176865,62943900
2022-11-11,28.930000,30.629999,28.870001,30.430000,29.833738,49826500
2022-11-14,30.340000,30.990000,30.180000,30.350000,29.755304,39395300
2022-11-15,31.100000,31.340000,30.170000,30.709999,30.108248,40933200
2022-11-16,30.110001,30.230000,29.440001,29.530001,28.951372,35582800
2022-11-17,29.070000,29.950001,29.000000,29.889999,29.304317,31983300
2022-11-18,30.260000,30.260000,29.610001,29.870001,29.284708,27122200
2022-11-21,29.660000,29.719999,28.910000,28.940001,28.372932,36086800
2022-11-22,29.139999,29.860001,29.059999,29.820000,29.235689,25584100
2022-11-23,29.730000,30.080000,29.490000,29.670000,29.088627,23143900
2022-11-25,29.680000,29.680000,29.340000,29.340000,28.765093,11314900
2022-11-28,29.100000,29.190001,28.540001,28.730000,28.167048,28267900
2022-11-29,28.850000,29.180000,28.740000,28.900000,28.333715,24361500
2022-11-30,28.770000,30.080000,28.219999,30.070000,29.480789,72072500
2022-12-01,30.240000,30.480000,29.520000,29.830000,29.245493,38896300
2022-12-02,29.170000,29.430000,28.709999,29.410000,28.833723,31546000
2022-12-05,29.420000,29.750000,28.889999,29.170000,28.598427,34040400
2022-12-06,29.190001,29.309999,28.340000,28.600000,28.039595,27701200
2022-12-07,28.280001,28.549999,28.150000,28.330000,27.774885,28239900
2022-12-08,28.320000,28.600000,28.070000,28.440001,27.882729,28486100
2022-12-09,28.389999,28.780001,28.190001,28.240000,27.686647,25641300
2022-12-12,28.129999,28.709999,27.860001,28.690001,28.127831,35117900
2022-12-13,29.790001,30.090000,28.370001,28.730000,28.167048,58546800
2022-12-14,28.510000,29.120001,28.010000,28.260000,27.706255,37141100
2022-12-15,27.940001,28.000000,27.120001,27.150000,26.618006,45682700
2022-12-16,27.000000,27.139999,26.450001,26.920000,26.392513,81104200
2022-12-19,26.900000,26.969999,26.500000,26.790001,26.265062,37662500
2022-12-20,26.540001,26.870001,26.420000,26.440001,25.921919,31863300
2022-12-21,26.590000,26.969999,26.580000,26.830000,26.304276,28100900
2022-12-22,26.450001,26.450001,25.350000,25.969999,25.461128,47478300
2022-12-23,25.920000,26.190001,25.680000,26.090000,25.578775,23600900
2022-12-27,25.850000,26.100000,25.650000,25.940001,25.431717,29548100
2022-12-28,25.840000,26.120001,25.500000,25.540001,25.039555,26176900
2022-12-29,25.770000,26.290001,25.750000,26.209999,25.696424,30944800
2022-12-30,25.900000,26.459999,25.799999,26.430000,25.912113,31030100
2023-01-03,27.049999,27.070000,26.370001,26.730000,26.206236,31308000
2023-01-04,27.410000,27.920000,27.160000,27.680000,27.137621,37665200
2023-01-05,27.440001,27.780001,27.379999,27.559999,27.019974,33552600
2023-01-06,27.930000,28.830000,27.379999,28.730000,28.167048,31788600
2023-01-09,28.840000,29.870001,28.840000,29.309999,28.735682,37493200
2023-01-10,29.240000,29.510000,28.920000,29.440001,28.863136,23008100
2023-01-11,29.680000,29.879999,29.000000,29.850000,29.265102,30375400
2023-01-12,29.980000,30.379999,29.469999,30.290001,29.696480,28963900
2023-01-13,29.969999,30.170000,29.809999,30.110001,29.520006,31361900
2023-01-17,30.180000,30.260000,29.520000,29.600000,29.020000,34759100
2023-01-18,29.799999,29.820000,28.629999,28.809999,28.245480,44199600
2023-01-19,28.610001,28.760000,28.240000,28.420000,27.863121,36886600
2023-01-20,28.420000,29.230000,28.250000,29.219999,28.647446,35158500
2023-01-23,29.330000,30.490000,29.180000,30.270000,29.676872,38795800
2023-01-24,29.940001,30.190001,29.730000,29.920000,29.333729,24855100
2023-01-25,29.520000,29.889999,29.170000,29.700001,29.118040,28268000
2023-01-26,30.059999,30.110001,29.330000,30.090000,29.500399,56088100
2023-01-27,27.070000,28.240000,26.780001,28.160000,27.608215,148548200
2023-01-30,27.719999,28.510000,27.670000,27.950001,27.402332,55145800
2023-01-31,27.780001,28.290001,27.530001,28.260000,27.706255,52621600
2023-02-01,27.889999,29.430000,27.680000,29.070000,28.500383,63330600
2023-02-02,29.250000,30.299999,28.799999,30.190001,29.598440,62230700
2023-02-03,29.620001,31.170000,29.530001,30.320000,29.725889,57603100
2023-02-06,29.549999,29.650000,28.610001,28.690001,28.470566,48726400
2023-02-07,28.650000,29.270000,28.430000,29.049999,28.827810,50780800
2023-02-08,28.950001,29.120001,28.209999,28.240000,28.024008,36479100
2023-02-09,28.680000,28.820000,27.570000,27.730000,27.517908,43906400
2023-02-10,27.629999,27.990000,27.340000,27.799999,27.587374,31232500
2023-02-13,27.870001,28.549999,27.719999,28.549999,28.331636,32347500
2023-02-14,28.379999,28.719999,27.990000,28.639999,28.420948,27928900
2023-02-15,28.360001,28.879999,28.160000,28.850000,28.629343,23359400
2023-02-16,28.500000,28.830000,28.129999,28.200001,27.984314,28972500
2023-02-17,28.000000,28.070000,27.379999,27.610001,27.398827,32086200
2023-02-21,27.110001,27.270000,26.040001,26.059999,25.860682,63668400
2023-02-22,25.910000,26.900000,25.299999,25.469999,25.275194,89195300
2023-02-23,25.780001,26.080000,25.320000,25.610001,25.414125,56473200
2023-02-24,25.219999,25.350000,24.920000,25.139999,24.947718,44089900
2023-02-27,25.549999,25.580000,24.879999,24.900000,24.709553,37657000
2023-02-28,24.940001,25.120001,24.730000,24.930000,24.739325,50255300
2023-03-01,25.030001,25.920000,24.969999,25.330000,25.136265,47823400
2023-03-02,25.209999,26.299999,25.120001,26.200001,25.999611,48309300
2023-03-03,26.200001,26.480000,26.010000,26.400000,26.198080,36744900
2023-03-06,26.469999,26.540001,25.930000,25.990000,25.791216,37879800
2023-03-07,25.840000,25.990000,25.500000,25.530001,25.334736,43164600
2023-03-08,25.559999,26.010000,25.450001,25.980000,25.781292,36071900
2023-03-09,25.980000,26.980000,25.969999,26.440001,26.237776,54886100
2023-03-10,26.549999,27.520000,26.320000,27.219999,27.011808,65187000
2023-03-13,26.740000,27.309999,26.610001,26.950001,26.743876,50977000
2023-03-14,27.350000,28.100000,27.250000,28.010000,27.795767,47689800
2023-03-15,27.730000,28.500000,27.660000,28.410000,28.192707,49322800
2023-03-16,28.389999,30.270000,28.389999,30.180000,29.949171,75779500
2023-03-17,29.920000,31.000000,29.440001,29.809999,29.581999,80628500
2023-03-20,29.799999,29.900000,28.629999,29.160000,28.936972,38780100
2023-03-21,29.000000,29.170000,27.980000,28.459999,28.242323,55650800
2023-03-22,28.480000,29.120001,28.100000,28.129999,27.914848,37415500
2023-03-23,28.379999,29.160000,28.219999,29.030001,28.807966,43785500
2023-03-24,29.040001,29.809999,28.930000,29.360001,29.135443,55912100
2023-03-27,29.370001,29.730000,29.080000,29.180000,28.956818,34758200
2023-03-28,29.080000,29.330000,28.629999,29.290001,29.065977,37407900
2023-03-29,29.770000,31.889999,29.760000,31.520000,31.278921,85556200
2023-03-30,31.850000,32.580002,31.809999,32.090000,31.844563,70077600
2023-03-31,31.799999,32.900002,31.730000,32.669998,32.420120,59765000
2023-04-03,32.939999,33.560001,32.540001,32.889999,32.638443,57038300
2023-04-04,32.849998,33.840000,32.840000,33.099998,32.846832,55714100
2023-04-05,32.799999,32.990002,32.340000,32.830002,32.578903,39615700
2023-04-06,32.599998,33.000000,32.459999,32.810001,32.559055,28551900
2023-04-10,32.599998,32.759998,32.200001,32.520000,32.271271,30534400
2023-04-11,32.660000,33.110001,32.320000,32.349998,32.102570,27059100
2023-04-12,32.770000,32.889999,31.959999,32.020000,31.775097,37070800
2023-04-13,31.820000,32.430000,31.650000,32.130001,31.884256,29722300
2023-04-14,32.000000,32.240002,31.690001,31.889999,31.646091,24623600
2023-04-17,31.950001,32.639999,31.770000,32.139999,31.894176,29601100
2023-04-18,32.430000,32.459999,31.780001,31.830000,31.586550,26041400
2023-04-19,31.100000,31.520000,31.080000,31.150000,30.911751,25746600
2023-04-20,30.760000,31.250000,30.709999,30.860001,30.623970,30255100
2023-04-21,30.840000,30.840000,30.230000,30.299999,30.068251,28655800
2023-04-24,30.129999,30.370001,29.610001,29.660000,29.433147,38732500
2023-04-25,29.440001,29.570000,28.870001,28.879999,28.659113,38289900
2023-04-26,29.200001,29.809999,28.840000,29.049999,28.827810,41218800
2023-04-27,28.750000,29.950001,28.510000,29.860001,29.631618,60186200
2023-04-28,31.980000,32.570000,30.809999,31.059999,30.822439,80229700
2023-05-01,31.110001,31.240000,30.280001,30.299999,30.068251,36918500
2023-05-02,30.299999,30.580000,29.750000,29.770000,29.542305,33463400
2023-05-03,30.639999,31.110001,30.250000,30.650000,30.415575,45554500
2023-05-04,30.440001,31.719999,30.379999,31.240000,31.128012,46104000
2023-05-05,31.379999,31.410000,30.730000,30.990000,30.878908,35010800
2023-05-08,30.700001,30.840000,30.389999,30.770000,30.659698,30882800
2023-05-09,30.379999,30.580000,29.910000,30.100000,29.992100,30706500
2023-05-10,30.290001,30.400000,29.490000,29.969999,29.862564,40526500
2023-05-11,29.600000,29.680000,28.820000,28.860001,28.756544,47144400
2023-05-12,29.030001,29.100000,28.719999,28.950001,28.846222,24147300
2023-05-15,28.900000,29.830000,28.879999,29.799999,29.693174,28717500
