Date,Open,High,Low,Close,Adj Close,Volume
2022-10-28,501.250000,508.470001,499.619995,503.839996,502.570679,2017100
2022-10-31,500.390015,516.469971,500.390015,513.969971,512.675110,2875200
2022-11-01,516.539978,525.960022,513.000000,517.690002,516.385742,2112100
2022-11-02,516.000000,516.000000,490.130005,490.980011,489.743073,1803300
2022-11-03,484.109985,490.829987,475.769989,486.940002,485.713257,1471500
2022-11-04,493.269989,495.700012,483.829987,495.549988,494.301544,1772200
2022-11-07,499.000000,500.089996,489.700012,492.100006,490.860229,1340900
2022-11-08,494.260010,500.730011,487.799988,492.170013,490.930054,2003100
2022-11-09,491.480011,495.950012,483.730011,484.709991,483.488861,1061000
2022-11-10,507.019989,520.669983,506.239990,520.580017,519.268555,1937600
2022-11-11,526.859985,545.460022,526.619995,538.679993,537.322876,2422500
2022-11-14,540.570007,542.190002,534.179993,534.770020,533.422791,1458400
2022-11-15,543.789978,552.880005,540.479980,546.090027,544.714233,1531400
2022-11-16,546.000000,548.179993,531.219971,536.010010,534.659607,1133700
2022-11-17,529.219971,531.359985,519.039978,529.890015,528.555115,1281800
2022-11-18,541.309998,543.159973,529.380005,535.239990,533.891541,1228400
2022-11-21,532.780029,540.000000,532.539978,536.280029,534.928955,1329600
2022-11-22,541.010010,545.450012,537.640015,544.750000,543.377625,1503600
2022-11-23,545.659973,552.820007,543.000000,547.289978,545.911194,823600
2022-11-25,550.489990,554.460022,547.369995,551.250000,549.861206,549200
2022-11-28,543.299988,550.000000,538.159973,540.030029,538.669495,1822700
2022-11-29,535.460022,540.390015,530.580017,539.750000,538.390198,1195600
2022-11-30,541.309998,561.979980,539.859985,560.219971,558.808594,3132200
2022-12-01,567.650024,569.330017,554.440002,564.559998,563.137695,1423900
2022-12-02,553.539978,564.799988,550.280029,563.000000,561.581604,1014400
2022-12-05,555.859985,559.650024,551.950012,557.210022,555.806274,1824100
2022-12-06,552.440002,556.450012,545.799988,550.530029,549.143066,1969700
2022-12-07,550.440002,559.250000,550.440002,558.140015,556.733887,952000
2022-12-08,560.130005,569.010010,556.770020,567.950012,566.519165,1160400
2022-12-09,564.000000,571.099976,559.320007,560.229980,558.818604,1157100
2022-12-12,565.380005,568.869995,563.400024,567.599976,566.170044,1163000
2022-12-13,576.840027,584.710022,566.750000,571.380005,569.940552,1867300
2022-12-14,569.109985,576.150024,563.700012,567.229980,566.098206,2079900
2022-12-15,561.390015,561.640015,550.929993,553.789978,552.684998,1366900
2022-12-16,549.400024,550.830017,531.559998,536.440002,535.369629,2336400
2022-12-19,533.849976,534.940002,527.270020,530.169983,529.112122,1053400
2022-12-20,529.809998,530.929993,520.010010,528.500000,527.445496,988600
2022-12-21,531.460022,541.059998,529.479980,539.890015,538.812744,1208300
2022-12-22,534.719971,539.340027,527.710022,539.140015,538.064270,1103300
2022-12-23,537.979980,543.090027,535.330017,540.679993,539.601196,621400
2022-12-27,540.679993,548.840027,536.820007,545.440002,544.351624,1050000
2022-12-28,547.380005,553.030029,543.080017,543.409973,542.325684,826800
2022-12-29,548.609985,561.570007,546.140015,557.010010,555.898621,1027400
2022-12-30,552.799988,555.000000,545.250000,550.690002,549.591187,686000
2023-01-03,553.289978,556.099976,546.969971,553.179993,552.076172,1785800
2023-01-04,559.299988,567.809998,554.960022,561.919983,560.798767,1935800
2023-01-05,555.789978,564.320007,552.299988,556.940002,555.828735,2220000
2023-01-06,555.760010,555.760010,522.780029,535.000000,533.932495,2938100
2023-01-09,538.739990,552.950012,537.010010,546.090027,545.000427,1871200
2023-01-10,547.469971,572.630005,547.429993,568.030029,566.896606,2102800
2023-01-11,571.119995,584.909973,568.039978,582.559998,581.397583,2013500
2023-01-12,581.969971,586.530029,576.859985,581.539978,580.379639,1635200
2023-01-13,578.650024,584.859985,572.469971,583.840027,582.675110,2040500
2023-01-17,585.000000,591.299988,581.729980,587.859985,586.687012,2086300
