Date,Open,High,Low,Close,Adj Close,Volume
2022-10-28,155.880005,161.690002,155.490005,161.360001,157.884766,6776100
2022-10-31,160.399994,161.550003,159.259995,160.630005,157.170502,6298800
2022-11-01,162.240005,163.429993,160.559998,162.899994,159.391602,4972300
2022-11-02,163.259995,166.369995,158.279999,158.490005,155.076584,6923900
2022-11-03,156.380005,158.610001,155.330002,156.520004,153.149017,4555400
2022-11-04,161.610001,162.699997,158.419998,162.649994,159.146988,6689900
2022-11-07,163.809998,166.300003,161.550003,165.690002,162.121521,4928300
2022-11-08,167.440002,169.839996,165.759995,168.110001,164.489410,5112300
2022-11-09,166.389999,167.729996,164.899994,164.990005,161.436584,4800400
2022-11-10,172.100006,175.190002,168.880005,174.690002,170.927673,9898200
2022-11-11,175.050003,180.789993,173.399994,179.490005,175.624313,6911900
2022-11-14,179.000000,181.119995,177.250000,177.440002,173.618469,5447300
2022-11-15,182.050003,182.619995,176.809998,177.570007,173.745682,6601000
2022-11-16,176.419998,176.419998,173.050003,173.460007,169.724197,7664800
2022-11-17,170.679993,175.429993,170.630005,175.360001,171.583267,5339800
2022-11-18,176.410004,176.800003,174.039993,175.179993,171.407120,5474800
2022-11-21,174.419998,174.669998,172.270004,172.399994,168.686996,4702700
2022-11-22,174.839996,177.309998,172.350006,177.220001,173.403183,4673500
2022-11-23,177.000000,179.779999,176.500000,178.979996,175.125275,3939100
2022-11-25,179.250000,179.289993,177.029999,177.070007,173.256439,1586400
2022-11-28,175.710007,176.029999,172.380005,173.000000,169.274078,5358800
2022-11-29,173.639999,174.360001,171.309998,172.979996,169.254517,3134000
2022-11-30,173.369995,180.509995,170.970001,180.460007,176.573410,9780300
2022-12-01,180.039993,180.520004,176.210007,177.500000,173.677155,5479900
2022-12-02,175.139999,177.990005,173.479996,177.660004,173.833725,3822900
2022-12-05,176.740005,178.639999,175.339996,177.389999,173.569519,4875300
2022-12-06,178.139999,178.160004,173.179993,174.339996,170.585220,4417900
2022-12-07,172.529999,175.029999,172.250000,173.750000,170.007919,3242800
2022-12-08,173.759995,176.520004,172.850006,176.360001,172.561722,3902700
2022-12-09,175.960007,176.580002,174.119995,174.259995,170.506943,3966700
2022-12-12,174.110001,177.570007,172.910004,177.479996,173.657578,5347000
2022-12-13,182.130005,183.089996,175.869995,177.500000,173.677155,6951000
2022-12-14,176.759995,179.809998,174.139999,175.820007,172.033356,5114600
2022-12-15,173.529999,174.520004,169.089996,170.009995,166.348480,6007300
2022-12-16,169.000000,170.050003,167.479996,169.550003,165.898392,10423600
2022-12-19,169.630005,169.869995,166.050003,167.610001,164.000168,4507000
2022-12-20,166.660004,167.779999,165.720001,166.089996,162.512894,3777600
2022-12-21,167.000000,168.910004,166.500000,168.729996,165.096039,3632100
2022-12-22,166.070007,166.520004,161.490005,164.699997,161.152832,7188700
2022-12-23,163.029999,164.800003,162.279999,164.380005,160.839722,2597000
2022-12-27,163.660004,164.589996,161.970001,163.779999,160.252670,3535600
2022-12-28,163.610001,165.160004,160.830002,161.190002,157.718445,2998600
2022-12-29,163.259995,166.039993,162.820007,165.020004,161.465958,4081600
2022-12-30,163.690002,165.389999,162.210007,165.220001,161.661652,3249000
2023-01-03,167.220001,167.649994,162.589996,163.210007,159.694931,4294100
2023-01-04,165.300003,169.690002,165.300003,169.169998,165.526566,6285300
2023-01-05,167.789993,170.039993,165.839996,166.929993,163.334793,6876800
2023-01-06,169.619995,176.160004,167.419998,175.160004,171.387558,6725900
2023-01-09,177.149994,180.380005,176.320007,176.679993,172.874817,5733900
2023-01-10,176.630005,179.619995,175.830002,178.399994,174.557785,4267700
2023-01-11,178.220001,179.050003,176.929993,178.869995,175.017654,5013900
2023-01-12,179.720001,181.169998,176.990005,178.130005,174.293594,4324900
2023-01-13,177.070007,179.110001,176.220001,179.009995,175.154648,3736700
2023-01-17,178.800003,179.820007,175.300003,175.399994,171.622391,5659400
2023-01-18,176.369995,177.320007,173.589996,173.759995,170.017715,5874300
2023-01-19,173.380005,173.729996,169.619995,170.929993,167.248657,5995700
2023-01-20,172.440002,173.589996,169.750000,173.000000,169.274078,7569900
2023-01-23,173.649994,179.020004,172.559998,178.169998,174.332718,7847600
2023-01-24,176.750000,178.520004,175.339996,177.039993,173.227051,5351600
2023-01-25,176.630005,178.210007,171.500000,175.039993,171.270142,6720700
2023-01-26,175.270004,175.270004,171.789993,174.100006,170.350403,6287900
2023-01-27,172.529999,177.309998,171.869995,175.240005,171.465836,6074900
2023-01-30,172.339996,175.179993,172.210007,173.130005,170.608505,5048900
2023-01-31,173.169998,177.300003,172.979996,177.210007,174.629105,5852400
2023-02-01,177.000000,183.690002,176.759995,182.100006,179.447876,7835800
2023-02-02,183.869995,185.449997,175.750000,184.720001,182.029724,11667100
2023-02-03,181.690002,185.240005,181.589996,182.289993,179.635101,5732200
2023-02-06,180.509995,182.580002,179.440002,181.000000,178.363892,4385700
2023-02-07,181.070007,184.270004,179.369995,183.490005,180.817627,4799900
2023-02-08,181.789993,182.589996,176.470001,176.500000,173.929428,5657600
2023-02-09,179.220001,180.500000,174.570007,174.990005,172.441437,5572000
2023-02-10,173.860001,176.139999,173.110001,175.789993,173.229767,5466400
2023-02-13,176.520004,177.800003,175.690002,176.710007,174.136368,3443200
2023-02-14,175.160004,177.649994,173.369995,176.339996,173.771744,4179200
2023-02-15,174.830002,178.710007,174.770004,178.500000,175.900299,3879700
2023-02-16,176.910004,178.320007,175.419998,176.080002,173.515549,4212400
2023-02-17,175.179993,177.089996,174.479996,175.320007,172.766632,4060800
2023-02-21,173.550003,174.910004,170.589996,170.759995,168.273026,7030300
2023-02-22,171.020004,171.940002,168.759995,169.800003,167.327011,4577400
2023-02-23,172.750000,173.020004,168.490005,171.820007,169.317596,4856600
2023-02-24,169.350006,170.130005,167.800003,169.139999,166.676620,4118300
2023-02-27,171.389999,172.020004,170.380005,170.740005,168.253326,3310100
2023-02-28,169.949997,172.570007,169.360001,171.449997,168.952972,3674500
2023-03-01,171.039993,172.429993,169.809998,172.169998,169.662491,4649800
2023-03-02,171.130005,174.919998,170.110001,174.080002,171.544678,4551100
2023-03-03,175.000000,175.949997,172.500000,175.679993,173.121368,4379200
2023-03-06,175.289993,176.500000,172.800003,173.050003,170.529678,4090100
2023-03-07,172.770004,174.000000,171.149994,172.059998,169.554092,3844100
2023-03-08,173.610001,176.360001,173.050003,176.220001,173.653503,3805400
2023-03-09,176.360001,177.910004,172.979996,173.440002,170.914001,4651200
2023-03-10,175.000000,175.270004,170.979996,171.639999,169.140213,5929700
2023-03-13,170.179993,175.830002,169.910004,173.889999,171.357452,5453400
2023-03-14,175.949997,176.199997,172.830002,175.729996,173.170639,5034600
2023-03-15,174.229996,175.130005,171.880005,174.389999,171.850159,4918300
2023-03-16,173.460007,177.679993,172.800003,177.130005,174.550262,5028500
2023-03-17,177.880005,179.089996,174.610001,175.710007,173.150955,12963300
2023-03-20,175.880005,179.869995,175.520004,179.160004,176.550690,4964600
2023-03-21,179.179993,180.660004,176.250000,178.410004,175.811615,4217500
2023-03-22,177.369995,181.479996,176.259995,176.320007,173.752060,4738000
2023-03-23,178.139999,181.889999,177.350006,180.279999,177.654373,5083300
2023-03-24,179.830002,180.490005,177.660004,179.509995,176.895584,5345400
2023-03-27,179.630005,179.809998,176.410004,177.050003,174.471420,4453200
2023-03-28,176.369995,177.589996,174.250000,177.490005,174.905029,4061500
2023-03-29,179.429993,181.869995,178.960007,181.039993,178.403290,5227100
2023-03-30,182.000000,184.490005,181.860001,184.240005,181.556702,5535800
2023-03-31,184.020004,186.300003,183.119995,186.009995,183.300919,4793100
2023-04-03,185.330002,186.179993,182.720001,184.160004,181.477875,4143000
2023-04-04,184.259995,184.669998,179.789993,180.399994,177.772629,4724800
2023-04-05,179.490005,179.729996,175.119995,177.199997,174.619232,5904900
2023-04-06,175.970001,179.229996,174.570007,178.119995,175.525833,3743000
2023-04-10,176.949997,179.729996,176.210007,179.419998,176.806900,3488500
2023-04-11,180.740005,181.380005,179.500000,179.869995,177.250336,3296900
2023-04-12,181.199997,181.199997,177.220001,177.550003,174.964142,3559400
2023-04-13,176.610001,179.880005,175.449997,179.110001,176.501419,3264200
2023-04-14,178.910004,180.539993,177.250000,178.979996,176.373306,2741900
2023-04-17,178.279999,180.550003,177.779999,180.050003,177.427734,2845800
2023-04-18,181.009995,181.729996,179.199997,180.320007,177.693802,2774700
2023-04-19,179.130005,179.460007,176.960007,177.080002,174.500977,3093900
2023-04-20,174.419998,178.309998,173.529999,176.619995,174.047668,4710800
2023-04-21,175.600006,177.559998,174.860001,177.020004,174.441864,6792000
2023-04-24,177.139999,177.429993,175.339996,175.899994,173.338165,3360100
2023-04-25,175.589996,176.039993,169.339996,169.389999,166.922974,7136000
2023-04-26,170.970001,170.970001,163.660004,164.460007,162.064789,8647500
2023-04-27,162.729996,165.610001,161.100006,165.270004,162.862991,6697900
2023-04-28,164.850006,167.520004,164.850006,167.199997,164.764877,6574400
2023-05-01,168.210007,168.300003,166.119995,166.679993,164.252441,4831200
2023-05-02,166.339996,167.490005,162.789993,163.940002,161.552368,7312400
2023-05-03,164.919998,165.990005,163.270004,163.350006,160.970947,4398800
2023-05-04,163.389999,163.869995,161.360001,162.300003,159.936234,4309000
2023-05-05,161.460007,166.009995,161.210007,165.820007,164.663040,5494700
2023-05-08,165.820007,166.600006,163.389999,164.220001,163.074188,3831300
2023-05-09,162.229996,163.490005,162.009995,163.000000,161.862701,5736800
2023-05-10,164.809998,165.000000,161.039993,163.050003,161.912354,4428800
2023-05-11,162.270004,162.419998,159.940002,161.169998,160.045471,3320400
2023-05-12,162.110001,162.960007,160.369995,161.880005,160.750519,2400800
2023-05-15,161.389999,165.479996,160.630005,165.259995,164.106934,3789100
2023-05-16,165.000000,166.050003,162.860001,163.380005,162.240067,4272900
2023-05-17,164.500000,165.669998,163.070007,165.339996,164.186371,4910300
2023-05-18,166.320007,170.169998,166.080002,169.809998,168.625183,4916300
2023-05-19,170.589996,170.990005,168.940002,170.110001,168.923096,4790500
2023-05-22,169.770004,171.110001,169.050003,170.860001,169.667862,3334000
2023-05-23,169.789993,170.740005,169.220001,169.740005,168.555679,5601200
2023-05-24,166.940002,168.509995,166.190002,167.070007,165.904312,7502500
2023-05-25,165.000000,170.509995,163.600006,169.619995,168.436508,7747200
2023-05-26,171.320007,177.050003,170.669998,176.289993,175.059967,8323200
2023-05-30,177.830002,178.190002,175.029999,176.550003,175.318161,5677200
2023-05-31,174.779999,175.800003,173.160004,173.880005,172.666794,8534000
2023-06-01,175.869995,176.449997,172.899994,175.809998,174.583328,3955400
2023-06-02,176.500000,176.630005,174.100006,175.229996,174.007370,4787500
2023-06-05,175.190002,175.190002,169.770004,170.259995,169.072052,5520400
2023-06-06,169.399994,171.539993,168.899994,170.360001,169.171356,4032400
2023-06-07,171.169998,173.789993,170.449997,172.000000,170.799911,4422700
2023-06-08,173.070007,173.839996,171.419998,172.229996,171.028305,3343700
2023-06-09,173.429993,173.820007,169.479996,170.589996,169.399750,4179000
2023-06-12,171.529999,174.279999,171.380005,174.039993,172.825668,4709300
2023-06-13,176.559998,178.309998,174.320007,177.410004,176.172165,5408100
2023-06-14,175.820007,178.270004,174.789993,177.119995,175.884186,4748400
2023-06-15,176.240005,179.399994,175.889999,178.089996,176.847412,4224100
2023-06-16,179.449997,179.830002,176.259995,176.759995,175.526688,10374500
2023-06-20,174.940002,177.029999,173.429993,174.360001,173.143448,3516000
2023-06-21,172.500000,173.600006,170.380005,170.479996,169.290512,4034300
2023-06-22,170.000000,172.660004,169.809998,172.630005,171.425522,3607800
2023-06-23,169.910004,170.279999,167.199997,167.679993,166.510040,8541600
2023-06-26,168.490005,170.979996,168.020004,168.750000,167.572586,4899600
2023-06-27,169.830002,176.570007,169.490005,176.309998,175.079834,6257800
2023-06-28,174.649994,176.380005,174.279999,174.960007,173.739258,3425300
2023-06-29,175.929993,177.039993,174.410004,176.789993,175.556488,3704700
2023-06-30,178.880005,180.539993,178.330002,180.020004,178.763962,6004400
2023-07-03,180.169998,181.199997,177.619995,179.759995,178.505768,2007600
2023-07-05,178.800003,178.860001,176.449997,176.529999,175.298309,3729100
2023-07-06,173.699997,175.479996,173.080002,174.820007,173.600250,4555100
2023-07-07,174.110001,177.070007,173.580002,173.699997,172.488052,4584800
2023-07-10,174.580002,179.729996,174.559998,179.440002,178.188004,5563200
2023-07-11,179.830002,179.970001,176.850006,178.820007,177.572327,2755800
2023-07-12,181.009995,182.899994,180.009995,182.369995,181.097549,5708600
2023-07-13,183.500000,184.009995,181.750000,183.119995,181.842316,4441200
2023-07-14,181.610001,183.029999,180.330002,180.850006,179.588165,3701000
2023-07-17,179.289993,184.259995,178.720001,183.399994,182.120361,3918500
2023-07-18,182.440002,184.199997,181.000000,183.679993,182.398407,3040500
2023-07-19,183.589996,184.679993,183.029999,183.669998,182.388489,3686000
2023-07-20,180.649994,182.169998,179.279999,179.919998,178.664642,7154600
2023-07-21,182.000000,185.570007,181.360001,184.320007,183.033966,17251600
